Target,Comment
0,"Sudah pake kuki sejak lama, dulunya ku build sebagai murni healer buat dampingin eula, karena superconduct kurangin physical resistance sekaligus heal lebih deras dari barbara wkwkwk... Karena baru meta hyperbloom yaudah deh sekarang kuki nya ku buatkan 2 set artifact, full hp & full em.. tergantung nnti mau gw masukin hyperbloom atau eula wkwkwk"
0,first dpt apa bang?
1,Marky nya ga guna. Udh 3 game masih ada pick Bruno.
0,mu
0,c2 nahida kah?
1,"Pemain Indo tanpa pemai PH bagaikan kerupuk disiram air ( MELEMPEM ) 
#PHILIPPRIDE M5"
1,Kalah ya Kalah aja harus mengakui meskipun Sakit y
1,rrq kalah btr and onic m5
1,nanti iri wkwkw
0,shirazi ama kohaibi cwe gw
0,Glory glory united
1,"PPQ siap"" tissu bakal ada pembantaian dari BTR"
1,aeterna milf
1,tim besar tapi gk lolos playyoff mana
0,adios
1,Onic vs Geek  
1,GO INDONESIA. SALAM DARI MALAYSIA 🇲🇾 
0,cwk
1,"Pemain Indo tanpa pemai PH bagaikan kerupuk disiram air ( MELEMPEM ) 
#PHILIPPRIDE M5"
0,plan plan pak sopir
0,Sukses terus bang kalla
1, Rrq the Condom is down!!!
0,"RULES | No Spam, No Toxic, No Sara, No Spoiler, No Alfabet Asing, No OOT, No Provokasi, No Pervert, No Politik, No Dark Jokes, No Salty dan gunakan commands dengan bijak"
0,katanya seitiap hutao rerun bakal gacha bang
1,xd
0,"Bang bahas cyno lagi dong
Soalnya bingung akunya build dia gimana"
1,yang apa adik adik yang 7 7 aja
0,eneri kers
1,LAPHEL???
0,"gada Nahida , Dendro cuma build Tighnari sama Baizhu , yao yao blum ke build"
1,epos jam brp bwang
0,SHIRAZIIIIIII
1,JUM'AT AN DULU WOIIII
0,"Sangat Sangat Wajib,Team Comp Ku Hyperbloom Ku Yelan,Nahida,Kuki,Terserah.Gacor Kang"
0,Waduh apa cuma gw nih yg blm build kuki  karena ga punya charanya
1,can rrq score atleast 1?
0,kukira logo halal
0,kapan kick off nya
0,breze dihapuskan
0,:body-blue-raised-arms: :body-blue-raised-arms: :body-blue-raised-arms: :body-blue-raised-arms:
0,"tatapannya shirazii itu lhooo, astagaaa"
1,"SIAP"" 4 menit lagi PPQ terbantai"
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
1,Mekus mekus
0,@Fathir ngejokes doang bang mereka ga usah dibawa serius wkwkw
0,bes punya gweh
1,sad indo fan 
1,ingat nonton mpl jangan sambil chas hp
1,hs
1,afa iyahh di bantai???
0,MU? Ahli sejarah?
0,jersey emyu 
1,One team will lose take the egg
0,smg tim semarangan ges
1,let's go geek fam
1,tepos nongol kasihan goa kepanasan 
0,TBA itu nama tim jg
1,oeee
1,"Lemon jgn di kasih edit ,auto rungkad"
0,emg boleh se mu itu
0,pada norak timbang jersey doang
1,RRQ DI TETEP DI HATI
1,tepos#7
1,Onic 3 kalinya juara beruntun dan semoga M5 juga dibawa pulang
1,ada fans #7 nongol 
1,tepos#7
1,PPQ kena CUMBACK GEEK wkwkw Lmao Pisan kang
0,grand final ini?
0,shirazi :face-red-heart-shape:
1,ONIC 
0,ini ptr atau ptr?
0,tangsel @ZeroFive 
0,"Four star termeta mondo bennet
Four star termeta liyue xinqiu
Four star termeta inazuma kuki
Four star termeta sumeru?"
0,iya bg smg udah final
1,rrq mana bisa menang dekk
1,Wolf's gonna do the play by plays? or the analysis? 
1,when will be the championship?
1,fans #7 ngetik sambil nangiss 
0,"siapapun yg menang bebas, penting maen 5 map"
1,ONIC 
1,#7
0,serius lu bang  :face_screaming_in_fear: :face_screaming_in_fear: :face_screaming_in_fear:
0,@Pinoyyyy -> You are the missing link. Goodbye. [blacklisted spam] [warning]
1,R7 in
1,onic juara mpl amin ya Allah
0,"RULES | No Spam, No Toxic, No Sara, No Spoiler, No Alfabet Asing, No OOT, No Provokasi, No Pervert, No Politik, No Dark Jokes, No Salty dan gunakan commands dengan bijak"
0,TBD : Tegal Bogor Depok
0,kok bisa 82k bg aku mentog 72
1,udah 7 di rombak pula gamampu bayar tazz
0,halo bang
0,LETSGOOO NWJ
1,Solat woi
1,Siapa yg sangka geek ke final bener bener kerja keras
1,PPQ bakal kebantai BTR boss
0,info dong kok breeze masuk map line up lagi di turney?
1,no 7 nomor masuk goa
1,"GW CUMAN BISA HUJAT TIM LAIN, KRNA TIM FAVORIT GW GAK LOLOS PLAYOFF"
0,:nerd_face: :nerd_face: :nerd_face:
0,masuk kmrn udah ada yng make
1,jam 1 draft
1,jumatan woy
0,Kalo sama nahida kenapa lebih gede hyperbloom nya dibanding sama b4 dendro lainnnya
0,udah pasti SMG dong
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
0,Bang build freminet dong
0,Iaaun ang menag aal jangan MU
0,mode bu wkwk
0,To be listed
0,"ni kalo enerii yang kalah, kasian si"
0,g mulai2. udh milih map belum ges
0,somehow gw juga pengen NWJ yg menang
0,Celeste reunian cuy
1,Rrq will Advance to the Toilet bracket
0,bang dapa dengan jersey emyunya
0,Nahida C2 
0,nwj dri mana
0,kenapa lower final cuma bo3 yak?
0,Skyelse cakep
1,evos ufah pulang
0,absen dulu ges
0,yang senyum cuma nabubuy
1, Rrq the Condom is down!!!
0,yok bang nab cosplay alfajer lagi :smiling_face_with_sunglasses:
1,hallo semua
1,"AYO PEMAIN PH! DAN BANTU PEMAIN INDO LEMAH MENANG.. ""TIDAK ADA PEMAIN PH TIDAK ADA PLAYERS INDO MENANG""😂😛😅#INDOWEAKLINGS"
1,iya pada Jumatan sono
1,Tim indo ada player ph....mseries tim indo swulit
1,RRQ chooke
1,VIVARRQUIT HOSHIT EGGS
1,dah jam 1 di sini
0,bella :face-red-heart-shape:
0,TBC?
1,Sesuai perediksi onic juara geek di ajak m5
0,lets goo
1,"SIAP"" 4 menit lagi PPQ terbantai"
1,anjir lama bet
0,ggmu
0,ultras kelly hadir
1,RRQ WIN aminnn
0,malah bahas bola wk
0,Yoooo smg
0,"eneri vs bes,"
1,secure pinoy in M5  
1,onic yesterday were shaky hope they improve today
1,epos jam brp bwang
0,absen
1,PPQ bakal kebantai BTR boss
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
0,Bg kalau bisa nanti bahas tentang buku baru di event hutao sama venti 
1,"TIM apa yang sering ikut Mseris tapi ga menang"" adick acik?"
1,10:12
0,mas8h lama sih
0,ini final upper dan final lower kan?
0,anjir sunsetnya dicontest loh
0,Team Balai Desa
1,epause ngetik sambil nangiss 
1,tepos#7
1,haiya efos ga masuk playoff ha efos skrg no 7 mah haiya phei a phei chawnima mah
1,Indog 
1,VIVARRQUIT
0,All in SMG
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
1,kalo #7 diam
1,wolf? woah
0,Wajib banget lv 90 bang? Emg bisa nambah em?? Bingung soalnya
1,Mga teamate dati yan ni kairi c baloy at marky
1,PPQ 100% kalah tandain gw
0,"Lah timnya sma kyak saya bang kwkwk
Nahida + baizhu wajib sih bareng kuki, soalnya ulti mreka naikin damage banget. Kuki saya tnpa ulti nahida 35k, pake ulti nahida 39k, pas ditmbah ulti baizhu jdi 49k wkwk, yg pasti wajib onfield kuki, krena ulti nahida baizhu nambah damage di char aktif"
1,#7
0,yah kirain bahas treble MU
0,om dave kok ga di pake itu seragam mu
0,beuhh
1,🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭🇵🇭
0,ya kali
1,GO INDONESIA. SALAM DARI MALAYSIA 🇲🇾 
1,Noob kairi
1,the best gameplay dari Geek Fam di Game ke 5....kelazs
1,udah 7 di rombak pula gamampu bayar tazz
1,xinn turub rata luoada
1,ga usah jumatan bro mendingan nonton mpl
0,okok
1,kok epos gada dijadwal bwang
1,what is thr score RRQ VS BTR?
0,antara 4 pemain ae atau 1 pemain ae yang lolos ke Champions Brazil ni
1,GACOR ONIC 4 - 2 
1,geek m5
0,sheesh mommy shirazi
0,:face_savoring_food: :face_savoring_food: :face_savoring_food: :face_savoring_food:
1,ayo btr kmu pasti bisa
0,TBD team mana?
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
0,To Be Announce
0,Bang kalla gacha furina bagus ga sih ? Banyak yg bersekulasi kalau furina kurang bagus
0,EMYUUUU
0,skyelyse  :red_heart:   :red_heart:  
1,ahahah kasian liat nomber 7
0,GGMU
0,To Bella Lovely
1,secure pinoy in M5  
0,Let's go tim id! siapapun yang menang minimal kaga di bantai queen eneri dkk  :rolling_on_the_floor_laughing:
0,ngabskuy
0,nunggu yang lawan smg
1,VIVARRQUIT AND EGGVOS BADUT  
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
1,jumatan woy
1,adalah 7 
1,TEPOSSS YATIM  
1,hallo semua
1,onic with the win 
0,Nyari kuki susah bngt
1,LAPHEL CASTING?
1,sa dar par pyar
1,anjir lama bet
0,smg udah di final kah ?
1,main kairi di depan lance
1,nanti iri wkwkw
0,yoi
0,"shinobu ini seru artenya, gw awal mau build,  cuman pake arte sisa kayak lavawalker, yang penting EM tinggi"
0,nabilah e lop yuhhh
0,civil war lagi
1,Hi Fwydchickn
0,caster nya ada son ga nih??
1,i m only waiting for geek and onic
0,lohhh jadi j berubah 
1,secure pinoy in M5  
1,"Onic Esports and Geek Fam M5. BTR, RRQUIT AND EGGVOS GO HOME"
1,no 7 nomor masuk goa
0,ini yg menang lawan fss baru bsk lawan smg 
0,"Yang baru dateng bisa like dulu livestreamnya, dan subscribe biar bisa ikutan ngobrol di sini"
0,tikung ngga sih
0,Pagi nih bang 
1,anak bau menyan gausah komen
0,lets go banii
1,rrq kalah aja dri skrng nanti ngebadut lgi di m5
0,reuni mantan queen apac
1,m5 champions is china region
1,Bigetron wins
1,7:12 Gas in game 
0,TBC penyakit
0,NABILAH BUTUH LAWAN SEPADAN
0,lesgoo ka nab nab
0,lesgoo
1,"Liam ""impian saya adalah gabung evos dan foto dgn pialaa M1"""
0,njirrr emyu cok
1,ahahah kasian liat nomber 7
1,apakah btr akan jd kelinci nya req?
1,BABAERO WOLF IS IN THE HOUSE!!
1,sesat
1,njir lokal 5 tahun  
0,burik pun masih cantik
0,#ayumiii
0,iya puh 
0,peaaa
1,jangan sambil nangiss
1,HAHAHA GEEK NNAEL NGAMUK. SANG SING SANG SIING.
1,apakah btr akan jd kelinci nya req?
1,"Pemain Indo tanpa pemai PH bagaikan kerupuk disiram air ( MELEMPEM ) 
#PHILIPPRIDE M5"
1,ga usah jumatan bro mendingan nonton mpl
1,IF YOU HAVENT NOTICED... WE OWN THIIS!
1,udah jumatan gak bro?
0,Bloom nilou sama hyper bloom bagus mana kira2
1,secure pinoy in M5  
1,tepos#7
0,Gatau. Di GC emang gitu dari dulu
1,#indoprideM5
1,secure pinoy in M5  
0,shirazi :face-red-heart-shape:
1,RRQUIT VS BIGECHOKE
0,Smg semarang?
0,mantap bang kalla!
0,bukan besok y grand finalnya
0,Yang menang ini lawan Full sense di Final Lower. Abis itu ketemu SMG di GF
1,PPQ TURU AJA
1,dah jam 1 di sini
0,"Hyperbloom: kuki > raiden

Heal, trigger ke shield jg"
1,Cadera??
1,info ig
0,Dmg hyperbloom pun crit gegara c2 nahida
0,cewek
1,jam 1 draft
1,"Liam ""impian saya adalah gabung evos dan foto dgn pialaa M1"""
0,Gg bwang
1,SUper Ken>>>>>>>>>>>>>>>Fer6 kntl
0,ahhh gitu.. oke thanks
1,Diatas langit masi ada onic
0,Hala madrid!
0,GGMU
0,"menurutku power hyperbloom skrg menjaadi benchmark dr char"" baru yg nanti akan rilis."
0,enerii :face-red-heart-shape:
1,DIBANTAI HAMAS PALESTINE 🇵🇸
1,ok
0,Oreophelia go go
0,absen
0,"Bang bahas hyperfridge juga dong, mumpung bentar lagi wrio rilis siapa tau bisa jadi driver hyperbloom nya."
1,udah jumatan gak bro?
1,yang apa adik adik yang 7 7 aja
1,secure pinoy in M5  
0,ganda ptr
1,jumaatan dlu bro
1,Duar
1,Rrq will Advance to the Toilet bracket
1,sesat
1,hahah kasihan lihat fans epause
1,teposs pans gausah nonton
0,Level talent ngaruh gk bg?
1,12:15
1,LIBANON PALESTINE BTR EVOS BESTIE  
1,ISRAEL DIBANTU MYANMAR SOK KERAS  
1,"i hope, geekfam champion in the philipine M5."
0,dave ga ngecasterin pebeh?
1,afa iyahh di bantai???
1,xinn turub rata luoada
0,pinjam $5 dong besok ganti
1,#7 2 kali
0,Awali siang hari ini dengan melek melihat pajangan jersey EMYU
1,#7 itu indah seperti biru 
1,Hi Fwydchickn
1,Go Onic
0,"@Soyaaa to be decided, artinya akan ditentukan siapa yang akan melawan FS nanti"
0,tbd apaan
0,BUSET MU ADDICT
1,secure pinoy in M5  
1,Match ini wawan jadi angkatan darat
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
1,"GW CUMAN BISA HUJAT TIM LAIN, KRNA TIM FAVORIT GW GAK LOLOS PLAYOFF"
1,kkhmmm lombok udh selesai
1,"PPQ siap"" tissu bakal ada pembantaian dari BTR"
1,Mang eaa
0,@Abdurrahman Al Gifari yup
1,BTR EVOS BESTIE  
1,"Gak seru soalnya gak imbang masa grand final 3.1 minimal 3.3 lah , geek bercanda"
1,wolfffff
1,no evos legend in play offs???
1,"trash rrq, lead 2 0 geek and lose 2 3"
1,BABAERO WOLF IS IN THE HOUSE!!
0,Ke2
0,Duo kuki + yaoyao aja udah cukup buat ngebantai viviane 
1,secure pinoy in M5  
0,Ga punya kuki nya bg
1,tepat 7
1,#7 itu indah seperti biru 
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
0,aga burik ya fotonya
0,ya kali majang jersey city buat apa?
1,greek n te meet again wkwkwk 
1,hiii
1,Go Onic
1,Hello
1,apakah btr akan trus menjadi kelinci nya rrq?
1,onic juara mpl amin ya Allah
1,UTAMAKAN TANK EDITH NO.1 RRQ
1,LIBANON PALESTINE BTR EVOS BESTIE  
1,GAK TEGA LIAT BANG
1,ayo btr kmu pasti bisa
1,tim besar tapi gk lolos playyoff mana
1,anak bau menyan gausah komen
1,Fhilipina is the best
0,letsgo SEMARANG
1,GEKFAM..TIM YANG SANGAT2 IDIOT MAEN CACING AJA SANA GEKFAM AJAK KOACH LU SURUH MAEN CACING AJA GK GUNA ADA DI GAME MOBILE LEGEND PADA IDIOT MAEN YA LU
1,bagi yg blom Jumatan silahkan Jum'at an
1,Yo rrq bisa menang
1,rrq kalah
1,epause ngetik sambil nangiss 
0,smg semarang? aowkaowkak
1,UTAMAKAN TANK EDITH NO.1 RRQ
1,pinoy carried the region
1,iya pada Jumatan sono
1,Salut buat geek mau mengalah pd onic
1,"Lemon jangan di kasih edit,naomi aja "
1,SUPER KENN DA SUPER TOMBOY
1,tepos yatim
0,Apakah SMG akan cosplay AE Celeste
0,@Fathir biar punya banyak waktu buat istirahat
0,scyte sih
1,Rrq noobs hoshi
0,bang nab ayoo
1,wolf and laphel in the building!
0,song???
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
1,hahah kasihan lihat fans epause
0,"RULES | No Spam, No Toxic, No Sara, No Spoiler, No Alfabet Asing, No OOT, No Provokasi, No Pervert, No Politik, No Dark Jokes, No Salty dan gunakan commands dengan bijak"
1,"Lemon jgn di kasih edit ,auto rungkad"
0,SMG gamehousenya di Sumedang kah?
1,"Lemon jangan di kasih edit,naomi aja "
0,SMG for enerii  :fire: :fire: :fire:
0,minimal ga 3-0 lah ya
1,WOLFF EYY
1,Ada yang lihat RRQ kena comeback kemarin?
0,"Saya heran kenapa pas rilis character electro kok rambutnya hijau 
Ternyata Kuki adalah sahabat terbaik untuk main dendro"
1,BTR EVOS BESTIE  
1,KAIRY ESPORT VS BALOYMARKKYY FAM
0,"Jangankan blm build kuki, punya kuki aja ngga"
1,Rrq will Advance to the Toilet bracket
1,"Pemain Indo tanpa pemai PH bagaikan kerupuk disiram air ( MELEMPEM ) 
#PHILIPPRIDE M5"
0,pas banget baru dapet Kuki tapi blm ada dendro nya cuma collei
0,Comment
1,Gw Seneng Sih Onic Juara Tapi Acil Makin Gede Kepalanya
0,ty infonya bg
0,Map pick nya apa aja info dong?
0,@AerodynamiteID bella punya w
1,Rrq will Advance to the Toilet bracket
0,bocor mak wkwk
0,:hand-pink-waving: :hand-pink-waving: :hand-pink-waving:
0,Build Kuki team ku pake 2pc 80+80 em dpt 1k+em dpt dmg 32k+ atau ganti ke paradise lost? Kali dmgnya nambah 1-2k kan mayan
0,kok bisa bangga ya jadi fans emyu?
0,udah @alvaroo_z2 
0,iya cwk
1,teposs pans gausah nonton
1,juara piala karat aja bangga m1 udah jadi karatan di laut
1,tepos nongol kasihan goa kepanasan 
1,The real raja dri segala raja 
1,pinoy carried the region
0,shirazi tatapannya itu lho  :hot_face: :hot_face: :hot_face:
1,GAK TEGA LIAT BANG
1,epause gogogo to goa 
0,nabubuy beda hadap
0,udah bang udah bang
0,pagii bang
1,#7 2 kali
0,smg bet 100jt
0,yang menang lolos major kah?
1,Baloy is feeder
0,ini cewe apa cowo
1,kapan ngepos bot main?
1,jangan sambil nangiss
1,woi solatlah sebelum di solatkan
1,kok epos gada dijadwal bwang
0,"RULES | No Spam, No Toxic, No Sara, No Spoiler, No Alfabet Asing, No OOT, No Provokasi, No Pervert, No Politik, No Dark Jokes, No Salty dan gunakan commands dengan bijak"
1, Rrq the Condom is down!!!
1,Markyy beban
0,"@Dimas Rizki rolling map, yang fracture sama pearl masuk bengkel"
0,"Casternya si ""Frostimus"" sama Bella"
1,PPQ TURU AJA
1,"PPQ buabr aja udah, ga bosen apa jadi tim HORE kwkw"
0,kobisa bangga jadi fans MU
1, Rrq the Condom is down!!!
1,Bugetron wins
0,ya dikasi tau kont
1,ONIC AND GEEK FOR M5
0,"tbd pd g tau, mndg turu dek"
1,where is evos???
1,hallo bang
0,"Yang baru dateng bisa like dulu livestreamnya, dan subscribe biar bisa ikutan ngobrol di sini"
1,Ketiduran gua semalam
1,geek plis win
0,Gapunya kuki
1,ada fans #7 nongol 
0,TBD = to be decided or to be determined
0,lotus decider
1,Ada yang lihat RRQ kena comeback kemarin?
0,Bukannya ci momo sekarang?
0,united is full of shit
1,Rrq will Advance to the Toilet bracket
1,njir semenjak M1 ga ada kemajuan  
1,let's go geek fam
1,adalah 7 
0,reuni time
1,pinoy carried the region
1,Rrq will Advance to the Toilet bracket
1,tepos tepos
0,loh langsung grand final?
0,gantinya breeze sama sunset
0,kiw kiw proff clbk?
0,Nahidanya c2 
1,wew
0,"MATCH INFO | Untuk cek semua info pertandingan hari ini seperti jadwal, bracket, dan talent silakan cek deskripsi ya!"
0,ggmu
1,secure pinoy in M5  
1,Solat woi
1,"M1 si tapi itu dulu , sekarang masuk playoff pun syulit "
1,idol wolf
0,"bind sunset, last lupa"
1,Onic vs Geek to M5
1,R7 in
1,mending siapin selimut buat tidur digoa
0,Ayumi mwss
1,Mang eaa
0,"RULES | No Spam, No Toxic, No Sara, No Spoiler, No Alfabet Asing, No OOT, No Provokasi, No Pervert, No Politik, No Dark Jokes, No Salty dan gunakan commands dengan bijak"
1,komentar cwek nya gak masuk suara jelek dan gk jelas.
0,udh
1,evos ufah pulang
1,secure pinoy in M5  
1,evos mna bang
1,juara piala karat aja bangga m1 udah jadi karatan di laut
1,btr mukbang fail
1,Rrq will Advance to the Toilet bracket
1,banana in super vyn in
1,Today's matches are Fire...
1,Keren geek
0,TBD itu Team Belum Ditentukan
1,apakah btr akan trus menjadi kelinci nya rrq?
0,kuki gua dulu sebelum dendro gak ke urus tapi setelah ada dendro gua kebut buildnya emang mantap dmg nya gua pakek iron string + 4pc flower of paradise lost em 920+ sama nahida bisa dmg 40k+ gg bener enak karna bisa off field mantap bet
0,"Gimana mau build kuki, kuki nya aja ga punya "
1,i see ty
1,Kelinci percobaan terbaru di MPL
1,Excited for today’s match
0,cantik bet 
